gama_x,gama_y
41148.04481359548,33425.35601080861
41152.38106551161,33378.417976195924
41152.38106551161,33378.417976195924
41148.04481359548,33425.35601080861
40987.56581508787,30121.223027548753
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
41152.38106551161,33378.417976195924
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
40698.32476471597,32923.33034983929
41172.45668409346,32707.79594332073
41164.22412424453,32512.056366452947
41152.38106551161,33378.417976195924
40698.32476471597,32923.33034983929
41111.986972209415,32854.58663827088
41119.9670982128,32802.95568920486
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
40008.130720160436,25082.53960444033
39941.44800248172,25112.237384581007
39941.01030106819,25150.559503791854
39941.44800248172,25112.237384581007
39845.96863587119,25126.33600650262
39817.24016127351,25196.68992170412
39941.44800248172,25112.237384581007
39948.138185397955,25075.570246642455
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
40001.38715220394,25093.55133027956
39941.44800248172,25112.237384581007
39864.47035328206,25114.87739860732
40025.80919045466,25048.776326068677
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39941.44800248172,25112.237384581007
39897.88335946936,25151.85118396301
39948.138185397955,25075.570246642455
36371.39952276787,37152.46725519281
36371.39952276787,37152.46725519281
36371.39952276787,37152.46725519281
36371.39952276787,37152.46725519281
36371.39952276787,37152.46725519281
36371.39952276787,37152.46725519281
36371.39952276787,37152.46725519281
43309.90140696836,32091.612377051264
42148.49510624609,33208.187304080464
41785.195472581894,32465.308977099136
42148.49510624609,33208.187304080464
42451.95330123929,32587.66464917548
42148.49510624609,33208.187304080464
42148.49510624609,33208.187304080464
42148.49510624609,33208.187304080464
42148.49510624609,33208.187304080464
42148.49510624609,33208.187304080464
42148.49510624609,33208.187304080464
42148.49510624609,33208.187304080464
43309.90140696836,32091.612377051264
42148.49510624609,33208.187304080464
42148.49510624609,33208.187304080464
43901.854122633464,33886.27680101339
42148.49510624609,33208.187304080464
43309.90140696836,32091.612377051264
42148.49510624609,33208.187304080464
42148.49510624609,33208.187304080464
43901.854122633464,33886.27680101339
41785.195472581894,32465.308977099136
41785.195472581894,32465.308977099136
43901.854122633464,33886.27680101339
42148.49510624609,33208.187304080464
43309.90140696836,32091.612377051264
43309.90140696836,32091.612377051264
42148.49510624609,33208.187304080464
41850.201712060254,32876.30596359726
43309.90140696836,32091.612377051264
41785.195472581894,32465.308977099136
43309.90140696836,32091.612377051264
43309.90140696836,32091.612377051264
42148.49510624609,33208.187304080464
42148.49510624609,33208.187304080464
41837.05449833104,38979.05395889841
41805.22962004843,38787.138084681705
41837.05449833104,38979.05395889841
41837.05449833104,38979.05395889841
41837.05449833104,38979.05395889841
41793.4711993254,38831.69118245132
41799.22944005451,38807.65004406683
41837.05449833104,38979.05395889841
41837.05449833104,38979.05395889841
41837.05449833104,38979.05395889841
41837.05449833104,38979.05395889841
41837.05449833104,38979.05395889841
